FID IID descID ance pop sex age group
NA12813 NA12813 NA12813 EUR CEU 2 NA 0
NA12828 NA12828 NA12828 EUR CEU 2 NA 0
NA12878 NA12878 NA12878 EUR CEU 2 NA 0
NA20514 NA20514 NA20514 EUR TSI 2 NA 0
HG00096 HG00096 HG00096 EUR GBR 1 NA 0
HG00097 HG00097 HG00097 EUR GBR 2 NA 0
NA20911 NA20911 NA20911 SAS GIH 1 NA 0
NA21095 NA21095 NA21095 SAS GIH 1 NA 0
HG00144 HG00144 HG00144 EUR GBR 2 NA 0
HG01502 HG01502 HG01502 EUR IBS 1 NA 0
HG01505 HG01505 HG01505 EUR IBS 1 NA 0
HG01508 HG01508 HG01508 EUR IBS 1 NA 0
HG01511 HG01511 HG01511 EUR IBS 2 NA 0
HG01514 HG01514 HG01514 EUR IBS 2 NA 0
HG01517 HG01517 HG01517 EUR IBS 2 NA 0
HG01520 HG01520 HG01520 EUR IBS 2 NA 0
HG01523 HG01523 HG01523 EUR IBS 1 NA 0
HG01526 HG01526 HG01526 EUR IBS 1 NA 0
HG01529 HG01529 HG01529 EUR IBS 1 NA 0
HG01532 HG01532 HG01532 EUR IBS 1 NA 0
HG01538 HG01538 HG01538 EUR IBS 2 NA 0
HG01601 HG01601 HG01601 EUR IBS 1 NA 0
HG01604 HG01604 HG01604 EUR IBS 2 NA 0
HG01609 HG01609 HG01609 EUR IBS 1 NA 0
HG01611 HG01611 HG01611 EUR IBS 1 NA 0
HG01614 HG01614 HG01614 EUR IBS 2 NA 0
HG01616 HG01616 HG01616 EUR IBS 2 NA 0
HG01621 HG01621 HG01621 EUR IBS 1 NA 0
HG01622 HG01622 HG01622 EUR IBS 2 NA 0
HG01627 HG01627 HG01627 EUR IBS 1 NA 0
HG01629 HG01629 HG01629 EUR IBS 1 NA 0
HG01633 HG01633 HG01633 EUR IBS 1 NA 0
HG01667 HG01667 HG01667 EUR IBS 1 NA 0
HG01671 HG01671 HG01671 EUR IBS 1 NA 0
HG01674 HG01674 HG01674 EUR IBS 1 NA 0
HG01677 HG01677 HG01677 EUR IBS 2 NA 0
HG01681 HG01681 HG01681 EUR IBS 2 NA 0
HG01683 HG01683 HG01683 EUR IBS 1 NA 0
HG01687 HG01687 HG01687 EUR IBS 2 NA 0
HG01696 HG01696 HG01696 EUR IBS 1 NA 0
